brand,product,shipping
ASUS,ASUS Expedition GeForce GTX 1060 EX-GTX1060-O6G Video Card,$3.99 
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC Video Card,Free
ASRock,ASRock Phantom Gaming D Radeon RX 580 DirectX 12 RX580 8G OC Video Card,Free
XFX,XFX Radeon RX 590 Fatboy DirectX 12 RX-590P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free
EVGA,EVGA GeForce GTX 1660 XC Ultra GAMING| 06G-P4-1167-KR| 6GB GDDR5| HDB Fan,Free
ASRock,ASRock Phantom Gaming X Radeon VII DirectX 12 Radeon VII 16G Video Card,$6.99 
EVGA,EVGA GeForce RTX 2070 XC GAMING| 08G-P4-2172-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,Free
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G Video Card,Free
XFX,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,Free
ZOTAC,ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card| Super Compact| ZT-T16600F-10L,Free
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,Free
GIGABYTE,GIGABYTE GeForce RTX 2070 GAMING OC 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070GAMING OC-8GC Video Card,Free
